,hashtags,symbols,urls,user_mentions
0,[],[],[],"[{'screen_name': 'pedrodamianof', 'name': 'Pedro Damian', 'id': 75611896, 'id_str': '75611896', 'indices': [3, 17]}, {'screen_name': 'ponchohd', 'name': 'Alfonso Herrera', 'id': 103167687, 'id_str': '103167687', 'indices': [54, 63]}]"
1,[],[],[],"[{'screen_name': 'thepoliticalcat', 'name': 'thepoliticalcat 4 Biden/Harris ticket! #KHive', 'id': 17686959, 'id_str': '17686959', 'indices': [3, 19]}]"
2,[],[],"[{'url': 'https://t.co/1vNeIXNvkm', 'expanded_url': 'https://twitter.com/i/web/status/1312858276271357955', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","[{'screen_name': 'GuyHornsby', 'name': 'Guy Hornsby', 'id': 104490861, 'id_str': '104490861', 'indices': [0, 11]}, {'screen_name': 'JolyonMaugham', 'name': 'Jo Maugham QC', 'id': 406842374, 'id_str': '406842374', 'indices': [12, 26]}]"
3,[],[],[],"[{'screen_name': 'MayaGoodfellow', 'name': 'Maya Goodfellow', 'id': 71318028, 'id_str': '71318028', 'indices': [3, 18]}]"
4,[],[],[],"[{'screen_name': 'danielledsouzag', 'name': ""Danielle D'Souza Gill"", 'id': 844281463, 'id_str': '844281463', 'indices': [0, 16]}]"
5,[],[],"[{'url': 'https://t.co/0lHIBpY4SE', 'expanded_url': 'https://twitter.com/i/web/status/1312858316033478672', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","[{'screen_name': 'SnekTheRedSun', 'name': 'Snek ☦️', 'id': 1170770392769867777, 'id_str': '1170770392769867777', 'indices': [0, 14]}]"
6,[],[],[],"[{'screen_name': 'BarristerSecret', 'name': 'The Secret Do-Gooder', 'id': 3297800601, 'id_str': '3297800601', 'indices': [3, 19]}]"
7,"[{'text': 'Karabakh', 'indices': [111, 120]}]",[],[],"[{'screen_name': 'ErdebilSavalan', 'name': 'Savalan Erdebil', 'id': 1310497959457374208, 'id_str': '1310497959457374208', 'indices': [3, 18]}, {'screen_name': 'TheYoungTurks', 'name': 'The Young Turks', 'id': 14957147, 'id_str': '14957147', 'indices': [24, 38]}, {'screen_name': 'AnaKasparian', 'name': 'Ana Kasparian', 'id': 23865382, 'id_str': '23865382', 'indices': [40, 53]}, {'screen_name': 'cenkuygur', 'name': 'Cenk Uygur', 'id': 429227921, 'id_str': '429227921', 'indices': [54, 64]}]"
8,[],[],[],"[{'screen_name': 'AlizaMarcus', 'name': 'Aliza Marcus', 'id': 319916940, 'id_str': '319916940', 'indices': [3, 15]}]"
9,[],[],"[{'url': 'https://t.co/8cA6ZzwBO4', 'expanded_url': 'https://www.breitbart.com/politics/2020/10/01/trump-further-reduces-obamas-refugee-inflow-to-u-s-by-80-percent/', 'display_url': 'breitbart.com/politics/2020/…', 'indices': [57, 80]}]","[{'screen_name': 'RealJamesWoods', 'name': 'James Woods', 'id': 78523300, 'id_str': '78523300', 'indices': [3, 18]}]"
10,[],[],[],"[{'screen_name': 'BenJolly9', 'name': 'Ben 🎃', 'id': 989613507552448512, 'id_str': '989613507552448512', 'indices': [3, 13]}]"
